                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7591,                 5.8896,                 1.5075,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066533,             0.00066533,             0.00066533
                      2,                 1.7823,                 1.6227,                 1.0589,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012441,              0.0012441,              0.0012441
                      3,                 1.6663,                 1.4063,                 1.0146,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017348,              0.0017348,              0.0017348
                      4,                 1.5914,                 1.2579,                 0.9799,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001604,               0.001604,               0.001604
                      5,                 1.5697,                 1.2084,                0.96369,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001472,               0.001472,               0.001472
                      6,                 1.5044,                 1.1824,                0.97237,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00134,                0.00134,                0.00134
                      7,                 1.4009,                 1.1042,                0.94262,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001208,               0.001208,               0.001208
                      8,                 1.3711,                 1.0554,                0.94091,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001076,               0.001076,               0.001076
                      9,                 1.3279,                 1.0309,                0.92998,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000944,               0.000944,               0.000944
                     10,                 1.2585,                0.99381,                0.91691,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000812,               0.000812,               0.000812
                     11,                 1.2362,                0.98887,                0.91402,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00068,                0.00068,                0.00068
                     12,                 1.2148,                 0.9774,                0.90693,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000548,               0.000548,               0.000548
                     13,                  1.162,                0.94603,                0.89929,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000416,               0.000416,               0.000416
                     14,                 1.1541,                0.93941,                0.89787,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000284,               0.000284,               0.000284
