                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7926,                 6.1602,                 1.4904,                0.39969,                0.34855,                 0.2879,                0.17126,                 1.7772,                 1.8164,                 1.0364,             0.00066533,             0.00066533,             0.00066533
                      2,                  1.914,                 1.8215,                 1.0825,                0.71487,                0.55832,                0.54607,                0.15133,                 2.3269,                 2.0243,                 1.1552,              0.0012441,              0.0012441,              0.0012441
                      3,                 1.7936,                 1.6289,                 1.0331,                0.81497,                 0.5899,                0.63029,                0.23965,                 1.8191,                 1.4371,                 1.0288,              0.0017348,              0.0017348,              0.0017348
                      4,                 1.7429,                 1.4981,                 1.0044,                0.87546,                0.59474,                0.64055,                 0.1818,                 2.3563,                 1.4261,                 1.1522,               0.001604,               0.001604,               0.001604
                      5,                 1.7261,                 1.4745,                0.98871,                0.88448,                0.64385,                0.66754,                 0.3745,                 1.6701,                 1.3974,                 0.9699,               0.001472,               0.001472,               0.001472
                      6,                 1.5868,                 1.3452,                0.98672,                0.92341,                0.65036,                 0.6921,                0.37505,                 1.6421,                 1.2708,                0.96446,                0.00134,                0.00134,                0.00134
                      7,                 1.4847,                 1.2559,                0.95505,                0.91446,                0.48796,                0.59125,                0.41022,                 1.3034,                  1.608,                0.97323,               0.001208,               0.001208,               0.001208
                      8,                 1.4497,                 1.1944,                0.95413,                0.93646,                0.65145,                0.69223,                0.48879,                 1.2272,                 1.0668,                 0.8862,               0.001076,               0.001076,               0.001076
                      9,                 1.4029,                 1.1375,                0.94368,                0.93433,                0.61003,                0.65165,                0.46251,                 1.2756,                 1.1146,                0.92548,               0.000944,               0.000944,               0.000944
                     10,                 1.3158,                 1.0904,                0.92563,                0.85399,                0.63209,                0.65415,                0.45768,                 1.2924,                 1.1802,                0.91318,               0.000812,               0.000812,               0.000812
                     11,                 1.2889,                 1.0679,                0.92333,                0.92186,                0.63637,                0.67647,                0.44097,                 1.4795,                 1.2764,                0.93151,                0.00068,                0.00068,                0.00068
                     12,                 1.2494,                 1.0502,                0.91258,                0.84906,                0.64315,                0.66625,                0.46757,                 1.3036,                 1.2491,                0.90319,               0.000548,               0.000548,               0.000548
                     13,                 1.2188,                 1.0161,                  0.908,                0.86708,                0.62707,                   0.66,                0.50605,                 1.0649,                 1.0897,                0.88549,               0.000416,               0.000416,               0.000416
                     14,                 1.1981,                 1.0098,                0.90377,                 0.8566,                0.65353,                0.67213,                0.44856,                 1.3602,                 1.1779,                0.90563,               0.000284,               0.000284,               0.000284
                     15,                 1.1625,                0.99009,                 0.9017,                0.84104,                 0.6314,                0.64947,                 0.4492,                 1.3356,                 1.2219,                0.90292,               0.000152,               0.000152,               0.000152
