                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8071,                 6.3808,                  1.489,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066533,             0.00066533,             0.00066533
                      2,                 1.8527,                 1.6581,                 1.0627,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012441,              0.0012441,              0.0012441
                      3,                 1.6996,                 1.3929,                 1.0123,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017348,              0.0017348,              0.0017348
                      4,                 1.5996,                 1.2708,                0.97526,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001604,               0.001604,               0.001604
                      5,                  1.593,                 1.2637,                0.96828,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001472,               0.001472,               0.001472
                      6,                 1.4559,                 1.1817,                0.96792,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00134,                0.00134,                0.00134
                      7,                 1.3966,                 1.1399,                0.94833,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001208,               0.001208,               0.001208
                      8,                 1.3516,                 1.0943,                 0.9454,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001076,               0.001076,               0.001076
                      9,                  1.307,                 1.0503,                0.93601,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000944,               0.000944,               0.000944
                     10,                 1.2676,                 1.0244,                0.92353,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000812,               0.000812,               0.000812
                     11,                 1.2327,                 1.0147,                0.91862,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00068,                0.00068,                0.00068
                     12,                 1.2026,                 1.0039,                0.91026,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000548,               0.000548,               0.000548
                     13,                 1.1601,                0.98591,                0.90191,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000416,               0.000416,               0.000416
                     14,                 1.1668,                0.97827,                 0.9005,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000284,               0.000284,               0.000284
                     15,                 1.1399,                0.95821,                0.89865,                0.96288,                0.69961,                0.76236,                0.29763,                 2.3719,                 1.0721,                 1.0302,               0.000152,               0.000152,               0.000152
