                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7718,                 6.2651,                  1.497,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066533,             0.00066533,             0.00066533
                      2,                 1.8334,                 1.6399,                 1.0571,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012441,              0.0012441,              0.0012441
                      3,                 1.6952,                 1.3997,                 1.0091,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017348,              0.0017348,              0.0017348
                      4,                 1.6347,                 1.2961,                0.98036,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001604,               0.001604,               0.001604
                      5,                 1.6198,                 1.2819,                 0.9752,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001472,               0.001472,               0.001472
                      6,                 1.5327,                 1.2145,                0.98243,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00134,                0.00134,                0.00134
                      7,                  1.379,                 1.1321,                0.94824,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001208,               0.001208,               0.001208
                      8,                 1.3482,                 1.0843,                0.94726,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001076,               0.001076,               0.001076
                      9,                 1.3197,                 1.0383,                0.93912,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000944,               0.000944,               0.000944
                     10,                 1.2655,                 1.0215,                0.92694,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000812,               0.000812,               0.000812
                     11,                 1.2384,                 1.0131,                0.92362,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00068,                0.00068,                0.00068
                     12,                 1.2136,                 1.0086,                0.91652,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000548,               0.000548,               0.000548
                     13,                 1.1666,                0.97342,                0.90912,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000416,               0.000416,               0.000416
                     14,                 1.1705,                0.96813,                0.90846,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000284,               0.000284,               0.000284
                     15,                 1.1523,                0.95685,                0.90688,                0.97032,                0.69433,                0.76286,                0.42376,                 1.7561,                0.91683,                0.94429,               0.000152,               0.000152,               0.000152
