                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5277,                 2.9849,                 2.7087,                0.22481,                0.19608,                0.12885,                0.05623,                 2.2156,                 2.5909,                 1.8558,               0.000664,               0.000664,               0.000664
                      2,                 1.6553,                 1.8216,                 1.4546,                0.57549,                0.50029,                0.45084,                 0.1997,                 1.3307,                 1.8776,                 1.3014,              0.0012648,              0.0012648,              0.0012648
                      3,                 1.4874,                 1.6414,                 1.2705,                0.84436,                0.56933,                0.58117,                0.21814,                 1.3189,                 2.0579,                 1.2771,              0.0017996,              0.0017996,              0.0017996
                      4,                 1.3807,                 1.5531,                  1.188,                0.82951,                0.48721,                0.56112,                0.21314,                 1.7963,                 2.0641,                 1.4706,               0.001703,               0.001703,               0.001703
                      5,                  1.379,                  1.492,                 1.1602,                0.90811,                0.60714,                0.63896,                0.27745,                 1.3417,                 1.6739,                  1.223,               0.001604,               0.001604,               0.001604
                      6,                 1.2663,                 1.3785,                 1.1126,                  0.924,                0.55338,                0.60466,                0.39416,                 1.0786,                 1.3907,                 1.1093,               0.001505,               0.001505,               0.001505
                      7,                 1.2369,                 1.4152,                  1.093,                0.92131,                0.61625,                0.64305,                0.29948,                 1.3345,                 1.8706,                 1.2311,               0.001406,               0.001406,               0.001406
                      8,                  1.198,                 1.2869,                 1.0702,                0.89221,                0.61975,                0.64807,                0.50549,                0.89326,                 1.2505,                 1.0128,               0.001307,               0.001307,               0.001307
                      9,                  1.137,                  1.221,                 1.0484,                0.92256,                0.64356,                0.68933,                0.58216,                 0.7475,                 1.0061,                0.95375,               0.001208,               0.001208,               0.001208
                     10,                 1.1762,                 1.2415,                 1.0571,                0.91877,                0.61345,                0.63327,                0.25893,                 1.6746,                 2.0802,                 1.3991,               0.001109,               0.001109,               0.001109
                     11,                  1.048,                 1.1918,                 1.0525,                0.90123,                0.61695,                0.63127,                0.16749,                 2.2649,                 1.6995,                 1.7855,                0.00101,                0.00101,                0.00101
                     12,                 1.0217,                 1.1646,                 1.0437,                0.94926,                 0.6682,                0.71865,                 0.4036,                 1.5044,                 1.1091,                  1.171,               0.000911,               0.000911,               0.000911
                     13,                0.97804,                 1.0688,                 1.0243,                0.89461,                0.59443,                0.63801,                0.54564,                0.79833,                 1.1147,                 1.0227,               0.000812,               0.000812,               0.000812
                     14,                0.95245,                 1.0325,                 1.0182,                0.94324,                0.62185,                 0.6711,                 0.3616,                 1.7282,                  1.154,                 1.3395,               0.000713,               0.000713,               0.000713
                     15,                0.91617,                0.97819,                 1.0002,                0.95744,                0.66168,                0.71771,                0.65123,                0.58446,                0.83272,                 0.9086,               0.000614,               0.000614,               0.000614
                     16,                0.87899,                0.94338,                0.98921,                0.95127,                0.62815,                 0.6821,                0.34652,                 1.8847,                 1.1727,                  1.411,               0.000515,               0.000515,               0.000515
                     17,                0.84701,                0.91608,                 0.9762,                0.92119,                0.64661,                0.69752,                0.63604,                0.56858,                0.89905,                0.91441,               0.000416,               0.000416,               0.000416
                     18,                0.79815,                0.89096,                0.96504,                0.89749,                0.60364,                0.64369,                0.56044,                0.72466,                 1.0882,                 0.9487,               0.000317,               0.000317,               0.000317
                     19,                0.80237,                0.88921,                0.97121,                0.87616,                0.63655,                0.66581,                0.61033,                0.58051,                 1.0975,                0.92634,               0.000218,               0.000218,               0.000218
                     20,                0.75367,                0.86789,                 0.9583,                0.87527,                0.62955,                0.66918,                0.61021,                0.58869,                 1.1002,                0.92605,               0.000119,               0.000119,               0.000119
