                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9372,                 4.6792,                 4.1189,                      0,                      0,                      0,                      0,                 4.9836,                 5.1926,                 3.1593,             0.00064912,             0.00064912,             0.00064912
                      2,                 3.7407,                    3.2,                 3.1333,                      0,                      0,                      0,                      0,                 5.0334,                 3.4305,                 3.3001,              0.0012507,              0.0012507,              0.0012507
                      3,                 2.7216,                 2.4118,                 2.3346,                      0,                      0,                      0,                      0,                 5.0629,                 3.4312,                 3.3692,              0.0017862,              0.0017862,              0.0017862
                      4,                 2.4021,                  2.296,                 2.0385,                0.27408,                0.29333,                0.13791,                0.07062,                 2.0929,                 2.8883,                  1.729,               0.001703,               0.001703,               0.001703
                      5,                 2.1644,                 2.1605,                 1.8262,                0.01707,                   0.55,                0.03331,                0.01793,                 1.5495,                 3.2428,                 1.5214,               0.001604,               0.001604,               0.001604
                      6,                 2.0506,                 2.1034,                 1.7155,                0.11321,                0.09667,                0.04819,                0.02945,                 1.3221,                 7.9063,                 1.2699,               0.001505,               0.001505,               0.001505
                      7,                 1.9335,                 2.0192,                 1.6413,                0.01187,                0.59333,                0.03438,                0.01621,                 1.6624,                 3.0824,                 1.4667,               0.001406,               0.001406,               0.001406
                      8,                 1.8029,                 1.9332,                 1.5613,                 0.7006,                   0.33,                0.36161,                0.14942,                  1.435,                 3.5297,                 1.2852,               0.001307,               0.001307,               0.001307
                      9,                 1.6894,                 1.8327,                 1.4936,                0.50966,                0.45387,                0.37821,                0.22153,                 1.2509,                 5.9447,                 1.1534,               0.001208,               0.001208,               0.001208
                     10,                 1.6825,                 1.8533,                 1.4943,                0.49731,                0.40333,                0.31504,                0.16977,                 1.2224,                 14.696,                 1.1417,               0.001109,               0.001109,               0.001109
                     11,                 1.5636,                 1.9334,                  1.537,                0.63344,                0.43333,                0.43691,                0.20249,                 1.2604,                 5.3375,                 1.1483,                0.00101,                0.00101,                0.00101
                     12,                 1.5135,                 1.8289,                 1.4642,                0.65521,                0.40541,                0.42562,                0.15729,                 1.2755,                 3.1838,                 1.1512,               0.000911,               0.000911,               0.000911
                     13,                 1.5866,                 1.8544,                 1.4442,                0.70114,                0.41448,                0.46965,                0.20849,                 1.1777,                 4.5421,                 1.0843,               0.000812,               0.000812,               0.000812
                     14,                 1.5032,                 1.7921,                 1.4004,                0.59541,                0.51999,                0.49924,                0.24967,                 1.0806,                 3.2009,                 1.0394,               0.000713,               0.000713,               0.000713
                     15,                 1.4688,                 1.7661,                 1.4159,                0.79113,                0.47667,                0.52254,                0.22603,                 1.2206,                 3.1417,                 1.1236,               0.000614,               0.000614,               0.000614
                     16,                 1.4783,                 1.7816,                 1.4222,                0.77587,                0.46157,                0.51688,                0.22656,                 1.0504,                 4.5697,                  1.032,               0.000515,               0.000515,               0.000515
                     17,                 1.4682,                 1.7887,                 1.3676,                0.65049,                0.46529,                0.48986,                0.23563,                 1.0254,                  3.323,                 1.0078,               0.000416,               0.000416,               0.000416
                     18,                 1.4449,                  1.751,                 1.3746,                0.78857,                0.49731,                0.55105,                0.20226,                 1.1667,                 2.8375,                 1.0585,               0.000317,               0.000317,               0.000317
                     19,                 1.4514,                 1.7536,                 1.3551,                0.67083,                0.49333,                0.51448,                0.24073,                 1.0761,                 3.3901,                  1.006,               0.000218,               0.000218,               0.000218
                     20,                 1.4097,                 1.7457,                 1.3613,                0.72909,                 0.4934,                0.52682,                0.25367,                 1.0189,                 3.4071,                0.99021,               0.000119,               0.000119,               0.000119
