                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.065,                 2.8384,                 3.3972,                0.06398,                0.12863,                0.03404,                  0.018,                 1.5987,                 3.1062,                 2.7535,               0.000664,               0.000664,               0.000664
                      2,                 1.9293,                  2.197,                 2.2743,                  0.071,                0.18487,                0.05193,                0.03268,                 1.6008,                 3.4983,                 2.4553,              0.0013043,              0.0013043,              0.0013043
                      3,                 1.7473,                  2.025,                 2.0393,                0.58461,                0.48293,                0.45772,                0.26603,                  1.286,                 2.3243,                 1.7886,              0.0019182,              0.0019182,              0.0019182
                      4,                 1.6191,                 1.9547,                 1.8905,                0.08087,                0.09524,                0.02531,                 0.0062,                 3.3848,                 4.1465,                 3.9167,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5431,                 1.8802,                  1.805,                0.52534,                0.33053,                0.32035,                0.11002,                 2.3639,                 2.7825,                 2.6327,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.4788,                 1.8091,                 1.7357,                0.67592,                0.42857,                0.45385,                0.20206,                 2.1477,                 2.4341,                 2.3862,               0.001802,               0.001802,               0.001802
                      7,                 1.3562,                 1.7254,                 1.6421,                0.00022,                 0.0091,                0.00011,                  1e-05,                 5.0874,                 6.5599,                  8.148,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.3453,                 1.6997,                 1.6349,                0.76277,                0.54552,                0.55697,                0.27889,                 1.5301,                 2.0909,                 1.9752,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.3093,                 1.7074,                 1.5972,                0.03524,                0.05322,                0.01024,                0.00194,                 3.7431,                  3.986,                 4.7085,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2582,                 1.6095,                 1.5599,                0.41531,                0.33754,                0.26041,                0.05188,                 2.9529,                 2.6598,                 3.4247,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.2446,                 1.5987,                  1.542,                0.06166,                0.10504,                0.02636,                0.00413,                 3.7944,                 2.9407,                 4.7617,               0.001604,               0.001604,               0.001604
                     12,                 1.2022,                 1.5363,                 1.5094,                0.06166,                0.10504,                0.02636,                0.00413,                 5.2826,                 5.2835,                 12.395,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.2148,                 1.5177,                 1.5152,                0.06166,                0.10504,                0.02636,                0.00413,                 5.3104,                 15.921,                 11.518,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1258,                 1.4452,                 1.4321,                0.16312,                0.15406,                0.06466,                0.00956,                 3.8106,                 4.6272,                 6.1387,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0889,                 1.3957,                 1.4109,                 0.0027,                0.11345,                0.00152,                0.00024,                 4.5843,                 6.2466,                 7.8519,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.0979,                 1.3861,                 1.4022,                0.54369,                0.35644,                0.33165,                0.12485,                  2.634,                 3.2969,                  2.854,               0.001406,               0.001406,               0.001406
                     17,                  1.128,                 1.3967,                 1.4215,                0.00615,                 0.0098,                0.00206,                0.00029,                 4.4097,                 6.6371,                 7.0661,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0273,                 1.3134,                 1.3473,                0.01027,                0.02381,                0.00284,                0.00042,                 4.1909,                 7.6435,                 6.1544,              0.0013268,              0.0013268,              0.0013268
                     19,                  1.046,                 1.3107,                 1.3575,                0.34595,                 0.2563,                0.19807,                0.06826,                 2.8514,                 3.3281,                 2.7771,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.0682,                 1.3437,                  1.387,                0.01011,                0.03571,                0.00284,                0.00035,                 4.1315,                 8.9724,                 5.6277,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0711,                  1.348,                 1.3679,                0.00107,                 0.0056,                0.00046,                  6e-05,                 4.1332,                 4.9024,                 6.8299,               0.001208,               0.001208,               0.001208
                     22,                 1.0563,                 1.3392,                 1.3652,                  6e-05,                 0.0007,                  1e-05,                      0,                 2.9581,                 7.0587,                 3.7625,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.0076,                 1.2937,                   1.33,                0.00043,                0.01821,                0.00022,                  2e-05,                 4.0697,                 8.1378,                 4.9515,              0.0011288,              0.0011288,              0.0011288
                     24,                0.99535,                 1.2366,                 1.3067,                0.00013,                 0.0056,                  7e-05,                  1e-05,                 5.1418,                 10.418,                 9.7872,              0.0010892,              0.0010892,              0.0010892
                     25,                0.95496,                 1.2244,                 1.2793,                  8e-05,                 0.0035,                  4e-05,                  1e-05,                 5.4204,                 10.179,                 9.8674,              0.0010496,              0.0010496,              0.0010496
                     26,                 0.9889,                 1.2468,                 1.2993,                  4e-05,                 0.0007,                  1e-05,                      0,                 5.3625,                 8.6963,                 9.6288,                0.00101,                0.00101,                0.00101
                     27,                0.95726,                 1.2143,                 1.2698,                  4e-05,                 0.0007,                  1e-05,                      0,                 5.4219,                 7.9086,                 11.332,              0.0009704,              0.0009704,              0.0009704
                     28,                0.90326,                 1.1765,                 1.2401,                  4e-05,                 0.0007,                  1e-05,                      0,                 5.4253,                 6.4826,                 11.437,              0.0009308,              0.0009308,              0.0009308
                     29,                0.96013,                  1.207,                 1.2765,                  3e-05,                 0.0014,                  2e-05,                      0,                 5.4921,                 10.106,                   11.2,              0.0008912,              0.0008912,              0.0008912
                     30,                0.91797,                 1.1831,                 1.2465,                  3e-05,                 0.0014,                  2e-05,                      0,                 5.5451,                 9.2748,                 13.442,              0.0008516,              0.0008516,              0.0008516
                     31,                0.87531,                 1.1748,                 1.2214,                0.00078,                 0.0056,                0.00021,                  3e-05,                 5.0063,                 6.2195,                 8.9726,               0.000812,               0.000812,               0.000812
                     32,                 0.9281,                  1.195,                  1.251,                0.00294,                 0.0028,                0.00058,                  7e-05,                 4.9806,                 10.339,                 6.4533,              0.0007724,              0.0007724,              0.0007724
                     33,                0.87462,                 1.1622,                 1.2181,                0.00294,                 0.0028,                0.00058,                  7e-05,                 5.4228,                 9.3945,                 12.315,              0.0007328,              0.0007328,              0.0007328
                     34,                0.84021,                 1.1467,                 1.1957,                0.00275,                 0.0007,                0.00029,                  4e-05,                 4.8897,                 8.0027,                 6.6634,              0.0006932,              0.0006932,              0.0006932
                     35,                0.81322,                 1.1008,                   1.17,                  3e-05,                 0.0014,                  2e-05,                      0,                 5.3535,                 6.9651,                 8.4543,              0.0006536,              0.0006536,              0.0006536
                     36,                0.86138,                 1.1301,                 1.2039,                  3e-05,                 0.0014,                  2e-05,                      0,                 5.3941,                  6.637,                 10.106,               0.000614,               0.000614,               0.000614
                     37,                0.81959,                 1.1011,                  1.172,                  2e-05,                 0.0007,                  1e-05,                      0,                 5.2682,                 5.3959,                 10.269,              0.0005744,              0.0005744,              0.0005744
                     38,                0.77333,                 1.0649,                 1.1564,                  2e-05,                 0.0007,                  1e-05,                      0,                 5.4387,                 9.6461,                 10.418,              0.0005348,              0.0005348,              0.0005348
                     39,                0.78331,                  1.088,                  1.158,                  2e-05,                 0.0007,                  1e-05,                      0,                 5.2055,                 5.6612,                 11.233,              0.0004952,              0.0004952,              0.0004952
                     40,                0.74176,                 1.0628,                 1.1406,                 0.0001,                 0.0042,                  5e-05,                  1e-05,                 4.9598,                 8.2135,                 7.5209,              0.0004556,              0.0004556,              0.0004556
                     41,                0.76007,                  1.056,                 1.1962,                 0.0001,                 0.0042,                  5e-05,                  1e-05,                 5.3324,                 5.9025,                 16.276,               0.000416,               0.000416,               0.000416
                     42,                0.72007,                 1.0096,                 1.1719,                 0.0001,                 0.0042,                  5e-05,                  1e-05,                 5.3499,                 8.1069,                 12.831,              0.0003764,              0.0003764,              0.0003764
                     43,                0.60747,                0.96148,                 1.1046,                0.00029,                 0.0007,                  1e-05,                      0,                 5.0542,                 11.389,                 11.376,              0.0003368,              0.0003368,              0.0003368
                     44,                0.58955,                0.94608,                 1.0927,                0.00025,                 0.0014,                  2e-05,                      0,                 5.0431,                 10.914,                 10.174,              0.0002972,              0.0002972,              0.0002972
                     45,                0.58009,                0.93192,                 1.0831,                0.00025,                 0.0014,                  2e-05,                      0,                 5.3216,                 11.332,                  13.94,              0.0002576,              0.0002576,              0.0002576
                     46,                0.56367,                0.92116,                 1.0723,                0.00025,                 0.0014,                  2e-05,                      0,                 5.2861,                 9.9579,                 13.259,               0.000218,               0.000218,               0.000218
                     47,                0.56749,                0.92099,                 1.0768,                0.00011,                 0.0007,                  1e-05,                      0,                 5.1108,                 12.666,                 11.171,              0.0001784,              0.0001784,              0.0001784
                     48,                0.55059,                0.90788,                  1.062,                0.00371,                 0.0105,                0.00039,                  4e-05,                 4.5873,                 9.0732,                 8.1715,              0.0001388,              0.0001388,              0.0001388
                     49,                0.52949,                0.89628,                 1.0558,                  8e-05,                 0.0007,                  3e-05,                      0,                 4.8379,                  10.27,                 8.9087,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.52538,                0.89423,                 1.0454,                0.00247,                 0.0042,                0.00034,                  4e-05,                 4.6102,                 7.7565,                 7.9948,               5.96e-05,               5.96e-05,               5.96e-05
