                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.258,                 3.6179,                 4.1566,                0.00063,                0.02339,                0.00036,                  5e-05,                 3.8477,                 3.6512,                 4.1351,             0.00064912,             0.00064912,             0.00064912
                      2,                 3.4259,                 2.9288,                 3.7932,                0.00089,                0.03216,                0.00057,                  7e-05,                 4.1346,                 4.1098,                 4.2875,              0.0012897,              0.0012897,              0.0012897
                      3,                 2.7853,                 2.7466,                 3.3243,                0.00115,                0.04094,                0.00073,                 0.0001,                 5.0833,                 4.5548,                  5.153,               0.001904,               0.001904,               0.001904
                      4,                  2.437,                 2.5247,                  2.925,                 0.3395,                0.26023,                0.22169,                0.09865,                  1.931,                 2.3799,                 2.9679,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.2472,                 2.3836,                 2.6724,                0.13321,                0.14327,                0.05315,                 0.0268,                 1.9732,                 3.0954,                  2.819,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.1966,                 2.3376,                 2.5311,                0.01487,                0.65205,                0.04524,                0.02822,                 1.5652,                 3.0981,                 2.4625,               0.001802,               0.001802,               0.001802
                      7,                 2.1247,                 2.3071,                 2.4727,                0.01527,                0.66959,                0.02496,                0.00874,                  2.012,                 3.2781,                 2.7673,              0.0017624,              0.0017624,              0.0017624
                      8,                   1.99,                 2.1926,                 2.3133,                0.01087,                0.47661,                0.00944,                 0.0048,                 1.5723,                 3.3119,                 2.5632,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.9145,                 2.0969,                 2.2402,                0.44813,                0.13158,                0.16715,                0.11227,                 1.3914,                 2.8576,                 2.1943,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.9243,                 2.1374,                 2.2655,                0.38556,                0.09649,                0.13289,                0.07389,                 1.7453,                 2.9259,                 2.5286,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.9276,                  2.105,                 2.2608,                0.29523,                0.19883,                0.12782,                0.06698,                 2.4844,                 3.2037,                  3.046,               0.001604,               0.001604,               0.001604
                     12,                 1.9136,                 2.1144,                 2.2151,                0.55739,                0.38304,                0.38506,                0.24325,                 1.8702,                 3.3321,                 2.4217,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.9119,                 2.1641,                 2.1574,                0.52707,                0.32456,                0.33381,                0.21615,                 1.8821,                 2.6546,                 2.4663,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.8727,                 2.0771,                 2.1159,                0.17809,                0.27485,                0.11452,                0.03898,                 2.7281,                 3.6967,                 3.2461,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.8366,                 2.0072,                  2.157,                0.44921,                 0.3538,                  0.316,                0.17267,                 2.2699,                 3.8144,                 2.7042,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.7945,                 2.0178,                 2.0573,                0.41119,                0.39181,                 0.3045,                0.08635,                  2.758,                 3.8767,                  3.058,               0.001406,               0.001406,               0.001406
                     17,                 1.7976,                  2.006,                 2.0628,                0.15463,                0.12865,                0.05986,                0.01044,                 3.7017,                 3.2757,                 4.0547,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.774,                 2.0094,                 2.0659,                0.58622,                0.35673,                0.37453,                0.18794,                 1.5798,                 2.5869,                 2.2694,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.8112,                 2.0366,                 2.0722,                0.35597,                0.35673,                0.26259,                0.11052,                  2.416,                 5.4943,                 2.7855,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.7917,                 2.0185,                 2.0609,                0.34888,                0.32456,                0.22702,                0.07787,                 2.3406,                 4.5007,                  2.724,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.7295,                 1.9333,                 1.9719,                0.13306,                0.22515,                 0.0627,                0.01559,                 3.5007,                 3.8607,                 4.0776,               0.001208,               0.001208,               0.001208
                     22,                 1.7022,                  1.879,                 1.9447,                0.04325,                 0.0614,                0.01332,                0.00242,                 4.2344,                 4.5734,                  5.234,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.7259,                 1.8719,                 1.9669,                0.27687,                0.19591,                0.12299,                0.02736,                 3.1112,                 3.8309,                 3.6521,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.6563,                 1.8241,                  1.909,                0.18531,                0.14035,                0.07082,                0.01738,                 3.1639,                   3.75,                 3.6449,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.5792,                 1.7662,                 1.8681,                0.19392,                0.13158,                0.07585,                0.02466,                 3.3895,                  4.772,                 4.0343,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.7033,                 1.8574,                 1.9394,                0.17691,                0.11988,                0.06397,                0.01599,                 3.4716,                 3.7146,                 3.9164,                0.00101,                0.00101,                0.00101
                     27,                 1.7405,                 1.9118,                 1.9525,                0.10594,                0.09942,                0.03084,                0.00773,                  3.647,                 3.2498,                 3.8039,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.6803,                  1.871,                 1.9255,                0.23414,                0.20175,                0.11966,                0.02432,                 3.2119,                 4.2889,                 3.5782,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.6652,                  1.859,                 1.9001,                0.16616,                0.12573,                 0.0768,                0.01441,                 3.5921,                 4.3837,                  3.813,              0.0008912,              0.0008912,              0.0008912
                     30,                  1.668,                 1.8613,                 1.9361,                 0.2037,                0.16667,                0.09042,                0.02308,                 3.2167,                  4.212,                 3.5882,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.6143,                 1.8158,                 1.9431,                0.44877,                0.26608,                0.25933,                 0.0899,                 2.4291,                 3.0893,                 2.6676,               0.000812,               0.000812,               0.000812
                     32,                 1.5441,                 1.7692,                 1.8135,                0.02283,                0.03801,                0.00573,                0.00116,                 4.5305,                 4.1889,                 5.1702,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.6351,                 1.7515,                 1.8802,                0.06783,                0.06596,                0.02185,                 0.0045,                 4.0109,                 4.4403,                 4.6348,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.6869,                 1.8127,                 1.9097,                0.23555,                0.26608,                0.14225,                0.03182,                 2.9307,                 2.9491,                  2.966,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.5486,                 1.7255,                 1.8393,                0.33208,                0.33918,                0.25392,                0.04341,                 2.9066,                 2.8996,                   3.23,              0.0006536,              0.0006536,              0.0006536
