Permutation,mAP50,mAP50-95,Precision,Recall
None_None_None,0.6600083503440244,0.5048179720116812,0.867157150354636,0.627489174287212
None_None_DOS,0.2952128805777619,0.15598426363435472,0.9078632724001621,0.06132997290886277
None_contrast_None,0.6564898840805876,0.49921409216964374,0.8759587580088247,0.6182572614107884
None_contrast_DOS,0.06380908055645412,0.0281318808195666,0.04500998003992016,0.3118948824343015
bkgCorr_None_None,0.00237626157143591,0.000818648349282047,0.00381565165344905,0.10580912863070539
bkgCorr_None_DOS,0.00237626157143591,0.000818648349282047,0.00381565165344905,0.10580912863070539
bkgCorr_contrast_None,0.003732574824140111,0.0013135663806246487,0.005313434569263378,0.12655601659751037
bkgCorr_contrast_DOS,0.0032195677582804927,0.001112042148198964,0.0049915322221231835,0.11618257261410789
None_DOS_contrast,0.0241243142171842,0.010077601426097569,0.029600570613409417,0.17219917012448133
bkgCorr_DOS_contrast,0.003732574824140111,0.0013135663806246487,0.005313434569263378,0.12655601659751037
contrast_bkgCorr_None,0.0007539392136975799,0.00023389109222456253,0.0013884696649562331,0.0318118948824343
contrast_bkgCorr_DOS,0.0007539392136975799,0.00023389109222456253,0.0013884696649562331,0.0318118948824343
None_DOS_bkgCorr,0.002376002998918404,0.000818579669012718,0.003815556497668271,0.10580912863070539
contrast_DOS_bkgCorr,0.0007540213682425129,0.00023386033206827125,0.0013886373241562518,0.0318118948824343
DOS_bkgCorr_contrast,0.003732574824140111,0.0013135663806246487,0.005313434569263378,0.12655601659751037
DOS_contrast_bkgCorr,0.002786203760646875,0.0009538129929604642,0.004309089850346474,0.10235131396957123
