                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8611,                 10.551,                 1.8776,                0.00025,                 0.0105,                0.00013,                  6e-05,                 3.6823,                 3.9175,                 1.7299,             0.00066533,             0.00066533,             0.00066533
                      2,                 3.9854,                 4.3608,                 1.5484,                0.00145,                0.06092,                0.00082,                0.00028,                 2.8489,                 3.5152,                 1.3898,              0.0012441,              0.0012441,              0.0012441
                      3,                 3.8658,                 3.9719,                 1.4162,                0.00023,                 0.0098,                0.00012,                  3e-05,                 3.1853,                 34.217,                 1.3923,              0.0017348,              0.0017348,              0.0017348
                      4,                 3.7828,                 3.8878,                 1.3761,                0.00197,                0.08263,                 0.0011,                0.00025,                  3.383,                 4.3833,                 1.3581,               0.001604,               0.001604,               0.001604
                      5,                 3.6184,                  3.831,                 1.3544,                0.00125,                0.05252,                0.00066,                 0.0001,                  3.758,                 4.0171,                 1.4455,               0.001472,               0.001472,               0.001472
                      6,                  3.279,                 3.9585,                 1.3659,                0.00012,                 0.0049,                  6e-05,                  1e-05,                 4.2204,                 3.7888,                 1.7281,                0.00134,                0.00134,                0.00134
                      7,                 3.0777,                 3.8868,                 1.2761,                0.00119,                0.04902,                0.00064,                0.00019,                 3.8106,                 4.0058,                 1.2114,               0.001208,               0.001208,               0.001208
                      8,                 3.0009,                 3.9157,                 1.2649,                 0.0001,                 0.0042,                  5e-05,                  2e-05,                 5.6284,                 4.5699,                 2.2915,               0.001076,               0.001076,               0.001076
                      9,                 2.9253,                 3.8605,                 1.2478,                 0.0001,                 0.0042,                  5e-05,                  2e-05,                 3.1817,                  2.649,                 1.0967,               0.000944,               0.000944,               0.000944
                     10,                 2.8603,                 3.8326,                 1.2284,                 0.0001,                 0.0042,                  5e-05,                  2e-05,                 4.8149,                 5.0572,                  1.802,               0.000812,               0.000812,               0.000812
                     11,                 2.8155,                 3.8133,                 1.2158,                  2e-05,                 0.0007,                  1e-05,                      0,                 4.1516,                 4.8103,                 1.5782,                0.00068,                0.00068,                0.00068
                     12,                 2.7996,                 3.8229,                  1.198,                  2e-05,                 0.0007,                  1e-05,                      0,                 4.8028,                 4.7062,                 1.8677,               0.000548,               0.000548,               0.000548
                     13,                 2.7483,                  3.815,                 1.2014,                  2e-05,                 0.0007,                  1e-05,                      0,                 5.0823,                 5.3419,                 1.8941,               0.000416,               0.000416,               0.000416
                     14,                 2.7825,                 3.7831,                 1.1852,                  2e-05,                 0.0007,                  1e-05,                      0,                  4.979,                 5.1208,                 1.9123,               0.000284,               0.000284,               0.000284
                     15,                 2.7502,                  3.787,                 1.1908,                  2e-05,                 0.0007,                  1e-05,                      0,                  5.058,                 5.2261,                 1.9771,               0.000152,               0.000152,               0.000152
