                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7342,                 6.0632,                 1.4911,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066533,             0.00066533,             0.00066533
                      2,                 1.7991,                 1.6124,                 1.0672,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012441,              0.0012441,              0.0012441
                      3,                 1.6634,                 1.4018,                 1.0166,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017348,              0.0017348,              0.0017348
                      4,                 1.5863,                 1.2409,                0.98384,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001604,               0.001604,               0.001604
                      5,                 1.5225,                 1.1567,                0.96608,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001472,               0.001472,               0.001472
                      6,                 1.4269,                 1.0965,                 0.9678,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00134,                0.00134,                0.00134
                      7,                 1.3835,                 1.0546,                0.95046,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001208,               0.001208,               0.001208
                      8,                 1.3249,                   1.01,                0.94504,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001076,               0.001076,               0.001076
                      9,                 1.2875,                0.96522,                0.93533,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000944,               0.000944,               0.000944
                     10,                 1.2832,                0.96567,                0.92832,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000812,               0.000812,               0.000812
                     11,                 1.2204,                0.94952,                 0.9229,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00068,                0.00068,                0.00068
                     12,                 1.1749,                0.94157,                0.91323,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000548,               0.000548,               0.000548
                     13,                 1.1581,                0.92554,                0.90975,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000416,               0.000416,               0.000416
                     14,                 1.1281,                0.91353,                0.90395,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000284,               0.000284,               0.000284
                     15,                 1.1078,                0.90286,                0.90247,                0.39009,                 0.2787,                0.14324,                0.01661,                 3.6677,                 1.4383,                 1.3297,               0.000152,               0.000152,               0.000152
