                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8094,                 6.5302,                 1.4994,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066533,             0.00066533,             0.00066533
                      2,                  1.874,                 1.7159,                 1.0694,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012441,              0.0012441,              0.0012441
                      3,                 1.7051,                 1.4297,                  1.007,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017348,              0.0017348,              0.0017348
                      4,                 1.6322,                 1.2903,                 0.9786,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001604,               0.001604,               0.001604
                      5,                 1.5869,                 1.2663,                0.96293,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001472,               0.001472,               0.001472
                      6,                 1.4693,                 1.2053,                0.95533,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00134,                0.00134,                0.00134
                      7,                 1.3909,                 1.1471,                0.93335,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001208,               0.001208,               0.001208
                      8,                 1.3585,                 1.1067,                0.93189,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001076,               0.001076,               0.001076
                      9,                 1.3396,                 1.0674,                0.92667,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000944,               0.000944,               0.000944
                     10,                 1.2649,                 1.0331,                 0.9112,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000812,               0.000812,               0.000812
                     11,                 1.2614,                 1.0322,                 0.9107,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00068,                0.00068,                0.00068
                     12,                 1.2126,                 1.0171,                0.90031,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000548,               0.000548,               0.000548
                     13,                 1.1779,                0.99566,                0.89472,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000416,               0.000416,               0.000416
                     14,                 1.1701,                 0.9779,                0.89269,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000284,               0.000284,               0.000284
                     15,                 1.1449,                0.96554,                0.89124,                0.95765,                0.70539,                0.76016,                0.32335,                  2.291,                 1.0677,                 1.0078,               0.000152,               0.000152,               0.000152
