                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7926,                 6.1602,                 1.4904,                0.00021,                 0.0083,                 0.0001,                  4e-05,                 4.9291,                 9.1264,                 1.8091,             0.00066533,             0.00066533,             0.00066533
                      2,                  1.914,                 1.8215,                 1.0825,                  7e-05,                0.00277,                  3e-05,                  1e-05,                 5.2467,                 27.819,                 1.8073,              0.0012441,              0.0012441,              0.0012441
                      3,                 1.7936,                 1.6289,                 1.0331,                0.00095,                0.03942,                0.00049,                0.00013,                 4.4802,                 668.88,                 1.7091,              0.0017348,              0.0017348,              0.0017348
                      4,                 1.7429,                 1.4981,                 1.0044,                0.00038,                0.01591,                0.00019,                  4e-05,                  3.634,                 3.9393,                 1.6467,               0.001604,               0.001604,               0.001604
                      5,                 1.7261,                 1.4745,                0.98871,                0.01128,                0.46819,                0.07366,                0.04651,                 2.1961,                 3.0655,                 1.3964,               0.001472,               0.001472,               0.001472
                      6,                 1.5868,                 1.3452,                0.98672,                0.00048,                0.02006,                0.00025,                  3e-05,                 4.1709,                 5.0339,                 1.6394,                0.00134,                0.00134,                0.00134
